  100.0000    0.00    0.00      0.0010          0.00000105          0.00000004      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.0110          0.00012764          0.00000005      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.0210          0.00053991          0.00000040      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.0310          0.00232296          0.00000339      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.0410          0.00873125          0.00000830      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.0510          0.01963643          0.00001241      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.0610          0.03155528          0.00001485      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.0710          0.04200018          0.00001591      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.0810          0.05011277          0.00001608      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.0910          0.05596977          0.00001576      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.1010          0.05994321          0.00001517      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.1110          0.06244419          0.00001447      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.1210          0.06386650          0.00001374      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.1310          0.06448340          0.00001304      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.1350          0.06455929          0.00001277      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.1350          0.06455929          0.00001277      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.1650          0.06316902          0.00001101      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.1950          0.06009184          0.00000974      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.2250          0.05661863          0.00000886      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.2550          0.05324413          0.00000826      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.2850          0.05013575          0.00000785      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.3150          0.04733803          0.00000756      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.3450          0.04485902          0.00000736      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.3750          0.04265965          0.00000722      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.4050          0.04071965          0.00000712      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.4350          0.03901947          0.00000704      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.4650          0.03755452          0.00000699      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.4950          0.03632570          0.00000696      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.5250          0.03532781          0.00000695      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.5550          0.03454720          0.00000853      0     2 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.5850          0.03399538          0.00000699      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.6150          0.03360923          0.00000860      0     2 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.6450          0.03338244          0.00000865      0     2 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.6750          0.03327661          0.00000869      0     2 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.7050          0.03326165          0.00000874      0     2 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.7350          0.03331582          0.00000878      0     2 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.7650          0.03341994          0.00000720      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.7950          0.03352498          0.00000722      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.8250          0.03364551          0.00000724      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.8550          0.03375738          0.00000725      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.8850          0.03386584          0.00000726      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.9150          0.03396649          0.00000727      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.9450          0.03404551          0.00000727      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      0.9750          0.03411275          0.00000727      0     3 of   3      0.00000 +-    0.00000
  100.0000    0.00    0.00      1.0000          0.03415452          0.00000727      0     3 of   3      0.00000 +-    0.00000
